|{|task, image segmentation|, |dataset, Bing|, |method, [37]|, |category, Car|, |data, full|}, Precision, 83.4|
|{|task, image segmentation|, |dataset, Bing|, |method, [37]|, |category, Car|, |data, full|}, Jaccard, 63.4|
|{|task, image segmentation|, |dataset, Bing|, |method, [6]|, |category, Car|, |data, full|}, Precision, 87.1|
|{|task, image segmentation|, |dataset, Bing|, |method, [6]|, |category, Car|, |data, full|}, Jaccard, 64.7|
|{|task, image segmentation|, |dataset, Bing|, |method, [9] baseline|, |category, Car|, |data, full|}, Precision, 85.7|
|{|task, image segmentation|, |dataset, Bing|, |method, [9] baseline|, |category, Car|, |data, full|}, Jaccard, 69.1|
|{|task, image segmentation|, |dataset, Bing|, |method, SPT|, |category, Car|, |data, full|}, Precision, 88.2|
|{|task, image segmentation|, |dataset, Bing|, |method, SPT|, |category, Car|, |data, full|}, Jaccard, 69.9|
|{|task, image segmentation|, |dataset, Bing|, |method, [37]|, |category, Horse|, |data, full|}, Precision, 83.7|
|{|task, image segmentation|, |dataset, Bing|, |method, [37]|, |category, Horse|, |data, full|}, Jaccard, 53.9|
|{|task, image segmentation|, |dataset, Bing|, |method, [6]|, |category, Horse|, |data, full|}, Precision, 89.0|
|{|task, image segmentation|, |dataset, Bing|, |method, [6]|, |category, Horse|, |data, full|}, Jaccard, 57.6|
|{|task, image segmentation|, |dataset, Bing|, |method, [9] baseline|, |category, Horse|, |data, full|}, Precision, 78.7|
|{|task, image segmentation|, |dataset, Bing|, |method, [9] baseline|, |category, Horse|, |data, full|}, Jaccard, 44.2|
|{|task, image segmentation|, |dataset, Bing|, |method, SPT|, |category, Horse|, |data, full|}, Precision, 91.2|
|{|task, image segmentation|, |dataset, Bing|, |method, SPT|, |category, Horse|, |data, full|}, Jaccard, 59.0|
|{|task, image segmentation|, |dataset, Bing|, |method, [37]|, |category, Plane|, |data, full|}, Precision, 86.1|
|{|task, image segmentation|, |dataset, Bing|, |method, [37]|, |category, Plane|, |data, full|}, Jaccard, 55.6|
|{|task, image segmentation|, |dataset, Bing|, |method, [6]|, |category, Plane|, |data, full|}, Precision, 90.2|
|{|task, image segmentation|, |dataset, Bing|, |method, [6]|, |category, Plane|, |data, full|}, Jaccard, 60.0|
|{|task, image segmentation|, |dataset, Bing|, |method, [9] baseline|, |category, Plane|, |data, full|}, Precision, 72.2|
|{|task, image segmentation|, |dataset, Bing|, |method, [9] baseline|, |category, Plane|, |data, full|}, Jaccard, 31.3|
|{|task, image segmentation|, |dataset, Bing|, |method, SPT|, |category, Plane|, |data, full|}, Precision, 91.0|
|{|task, image segmentation|, |dataset, Bing|, |method, SPT|, |category, Plane|, |data, full|}, Jaccard, 57.1|
|{|task, image segmentation|, |dataset, Bing|, |method, [18]|, |category, Car|, |data, subset|}, Precision, 58.7|
|{|task, image segmentation|, |dataset, Bing|, |method, [18]|, |category, Car|, |data, subset|}, Jaccard, 37.15|
|{|task, image segmentation|, |dataset, Bing|, |method, [19]|, |category, Car|, |data, subset|}, Precision, 59.2|
|{|task, image segmentation|, |dataset, Bing|, |method, [19]|, |category, Car|, |data, subset|}, Jaccard, 35.15|
