|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, aero|}, Precision, 73.8|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, boat|}, Precision, 77.5|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, car|}, Precision, 72.9|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, cat|}, Precision, 72.0|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, cow|}, Precision, 78.2|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, dog|}, Precision, 75.6|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, horse|}, Precision, 76.2|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, sheep|}, Precision, 77.5|
|{|method, baseline|, |task, image segmentation|, |supervision, no|, |category, tv|}, Precision, 76.3|
|{|method, baseline|, |task, image segmentation|, |supervision, no|}, Precision, 75.5|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, aero|}, Precision, 87.2|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, boat|}, Precision, 85.3|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, car|}, Precision, 82.8|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, cat|}, Precision, 82.3|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, cow|}, Precision, 85.5|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, dog|}, Precision, 83.9|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, horse|}, Precision, 81.7|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, sheep|}, Precision, 81.8|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|, |category, tv|}, Precision, 80.2|
|{|method, SegProg|, |task, image segmentation|, |supervision, yes|}, Precision, 83.4|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, aero|}, Precision, 75.4|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, boat|}, Precision, 78.5|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, car|}, Precision, 84.2|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, cat|}, Precision, 78.3|
|{|method, SPT|, |task, image segmentation|, |supervision, no|, |category, cow|}, Precision, 83.8|
