|{|Task, Table retrieval|, |Setting, Header (H)|, |Feature, MAP|, |dataset, WebQueryTable|}, MAP, 22.39|
|{|Task, Table retrieval|, |Setting, Header (H)|, |Feature, P@1|, |dataset, WebQueryTable|}, P@1, 9.76|
|{|Task, Table retrieval|, |Setting, Header (H)|, |NeuralNet, MAP|, |dataset, WebQueryTable|}, MAP, 26.03|
|{|Task, Table retrieval|, |Setting, Header (H)|, |NeuralNet, P@1|, |dataset, WebQueryTable|}, P@1, 13.35|
|{|Task, Table retrieval|, |Setting, Cell (Cel)|, |Feature, MAP|, |dataset, WebQueryTable|}, MAP, 28.85|
|{|Task, Table retrieval|, |Setting, Cell (Cel)|, |Feature, P@1|, |dataset, WebQueryTable|}, P@1, 14.95|
|{|Task, Table retrieval|, |Setting, Cell (Cel)|, |NeuralNet, MAP|, |dataset, WebQueryTable|}, MAP, 27.47|
|{|Task, Table retrieval|, |Setting, Cell (Cel)|, |NeuralNet, P@1|, |dataset, WebQueryTable|}, P@1, 12.92|
|{|Task, Table retrieval|, |Setting, Caption (Cap)|, |Feature, MAP|, |dataset, WebQueryTable|}, MAP, 57.12|
|{|Task, Table retrieval|, |Setting, Caption (Cap)|, |Feature, P@1|, |dataset, WebQueryTable|}, P@1, 56.83|
|{|Task, Table retrieval|, |Setting, Caption (Cap)|, |NeuralNet, MAP|, |dataset, WebQueryTable|}, MAP, 60.16|
|{|Task, Table retrieval|, |Setting, Caption (Cap)|, |NeuralNet, P@1|, |dataset, WebQueryTable|}, P@1, 48.48|
|{|Task, Table retrieval|, |Setting, H + Cel|, |Feature, MAP|, |dataset, WebQueryTable|}, MAP, 31.99|
|{|Task, Table retrieval|, |Setting, H + Cel|, |Feature, P@1|, |dataset, WebQueryTable|}, P@1, 17.08|
|{|Task, Table retrieval|, |Setting, H + Cel|, |NeuralNet, MAP|, |dataset, WebQueryTable|}, MAP, 30.73|
|{|Task, Table retrieval|, |Setting, H + Cel|, |NeuralNet, P@1|, |dataset, WebQueryTable|}, P@1, 16.25|
|{|Task, Table retrieval|, |Setting, H + Cel + Cap|, |Feature, MAP|, |dataset, WebQueryTable|}, MAP, 61.02|
|{|Task, Table retrieval|, |Setting, H + Cel + Cap|, |Feature, P@1|, |dataset, WebQueryTable|}, P@1, 47.79|
|{|Task, Table retrieval|, |Setting, H + Cel + Cap|, |NeuralNet, MAP|, |dataset, WebQueryTable|}, MAP, 61.94|
|{|Task, Table retrieval|, |Setting, H + Cel + Cap|, |NeuralNet, P@1|, |dataset, WebQueryTable|}, P@1, 49.02|
