|{|Task, Segmentation|, |Dataset, Bing|, |Method, [18]|, |Train/Test, yes|, |Data, Full set|, |Category, Car|}, Precision, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [18]|, |Train/Test, yes|, |Data, Full set|, |Category, Horse|}, Precision, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [18]|, |Train/Test, yes|, |Data, Full set|, |Category, Plane|}, Precision, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [18]|, |Train/Test, yes|, |Data, Subset|, |Category, Car|}, Precision, 58.7|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [18]|, |Train/Test, yes|, |Data, Subset|, |Category, Horse|}, Precision, 63.84|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [18]|, |Train/Test, yes|, |Data, Subset|, |Category, Plane|}, Precision, 49.25|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [18]|, |Train/Test, yes|, |Data, Full set|, |Category, Car|}, Jaccard, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [18]|, |Train/Test, yes|, |Data, Full set|, |Category, Horse|}, Jaccard, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [18]|, |Train/Test, yes|, |Data, Full set|, |Category, Plane|}, Jaccard, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [18]|, |Train/Test, yes|, |Data, Subset|, |Category, Car|}, Jaccard, 37.15|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [18]|, |Train/Test, yes|, |Data, Subset|, |Category, Horse|}, Jaccard, 30.16|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [18]|, |Train/Test, yes|, |Data, Subset|, |Category, Plane|}, Jaccard, 15.36|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [19]|, |Train/Test, yes|, |Data, Full set|, |Category, Car|}, Precision, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [19]|, |Train/Test, yes|, |Data, Full set|, |Category, Horse|}, Precision, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [19]|, |Train/Test, yes|, |Data, Full set|, |Category, Plane|}, Precision, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [19]|, |Train/Test, yes|, |Data, Subset|, |Category, Car|}, Precision, 59.2|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [19]|, |Train/Test, yes|, |Data, Subset|, |Category, Horse|}, Precision, 64.22|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [19]|, |Train/Test, yes|, |Data, Subset|, |Category, Plane|}, Precision, 47.48|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [19]|, |Train/Test, yes|, |Data, Full set|, |Category, Car|}, Jaccard, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [19]|, |Train/Test, yes|, |Data, Full set|, |Category, Horse|}, Jaccard, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [19]|, |Train/Test, yes|, |Data, Full set|, |Category, Plane|}, Jaccard, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [19]|, |Train/Test, yes|, |Data, Subset|, |Category, Car|}, Jaccard, 35.15|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [19]|, |Train/Test, yes|, |Data, Subset|, |Category, Horse|}, Jaccard, 29.53|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [19]|, |Train/Test, yes|, |Data, Subset|, |Category, Plane|}, Jaccard, 11.72|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [22]|, |Train/Test, yes|, |Data, Full set|, |Category, Car|}, Precision, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [22]|, |Train/Test, yes|, |Data, Full set|, |Category, Horse|}, Precision, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [22]|, |Train/Test, yes|, |Data, Full set|, |Category, Plane|}, Precision, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [22]|, |Train/Test, yes|, |Data, Subset|, |Category, Car|}, Precision, 68.85|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [22]|, |Train/Test, yes|, |Data, Subset|, |Category, Horse|}, Precision, 75.12|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [22]|, |Train/Test, yes|, |Data, Subset|, |Category, Plane|}, Precision, 80.2|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [22]|, |Train/Test, yes|, |Data, Full set|, |Category, Car|}, Jaccard, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [22]|, |Train/Test, yes|, |Data, Full set|, |Category, Horse|}, Jaccard, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [22]|, |Train/Test, yes|, |Data, Full set|, |Category, Plane|}, Jaccard, –|
|{|Task, Segmentation|, |Dataset, Bing|, |Method, [22]|, |Train/Test, yes|, |Data, Subset|, |Category, Car|}, Jaccard, 0.04|
