|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, aero|}, Precision, 73.8|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, boat|}, Precision, 77.5|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, car|}, Precision, 72.9|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, cat|}, Precision, 72|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, cow|}, Precision, 78.2|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, dog|}, Precision, 75.6|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, horse|}, Precision, 76.2|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, sheep|}, Precision, 77.5|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, tv|}, Precision, 76.3|
|{|Task, Segmentation|, |Method, baseline|, |Supervision, no|, |Category, mean|}, Precision, 75.5|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, aero|}, Precision, 87.2|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, boat|}, Precision, 85.3|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, car|}, Precision, 82.8|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, cat|}, Precision, 82.3|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, cow|}, Precision, 85.5|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, dog|}, Precision, 83.9|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, horse|}, Precision, 81.7|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, sheep|}, Precision, 81.8|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, tv|}, Precision, 80.2|
|{|Task, Segmentation|, |Method, SegProg|, |Supervision, yes|, |Category, mean|}, Precision, 83.4|
